RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+4.45962762681910e-03 +2.90014337987215e+22 +1.76991402317622e+24 +7.89315747485119e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06797405661274e+21 +7.28286639158834e+22 +2.46151959347955e-02 +1.63857867777536e-02 +1.64101306231970e-02 
+4.58482375138910e-03 +2.90015141350647e+22 +1.76991409229551e+24 +8.11474416827473e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06797988360795e+21 +7.28288694118979e+22 +2.46152636485704e-02 +1.63858315278177e-02 +1.64101757657136e-02 
+4.71353453478691e-03 +2.90015990418388e+22 +1.76991416534963e+24 +8.34255154198403e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06798604213324e+21 +7.28290865988847e+22 +2.46153352146515e-02 +1.63858788237393e-02 +1.64102234764343e-02 
+4.84585864481650e-03 +2.90016887788481e+22 +1.76991424256256e+24 +8.57675423290563e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06799255103734e+21 +7.28293161414195e+22 +2.46154108520203e-02 +1.63859288102333e-02 +1.64102739013468e-02 
+4.98189751920516e-03 +2.90017836206458e+22 +1.76991432417102e+24 +8.81753178079329e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06799943023924e+21 +7.28295587418054e+22 +2.46154907920892e-02 +1.63859816402296e-02 +1.64103271947261e-02 
+5.12175544336424e-03 +2.90018838573644e+22 +1.76991441042519e+24 +9.06506876588405e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06800670078862e+21 +7.28298151421989e+22 +2.46155752794022e-02 +1.63860374753360e-02 +1.64103835196015e-02 
+5.26553963033276e-03 +2.90019897955890e+22 +1.76991450158952e+24 +9.31955495042026e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06801438492940e+21 +7.28300861268427e+22 +2.46156645723704e-02 +1.63860964863235e-02 +1.64104430482469e-02 
+5.41336030296538e-03 +2.90021017592988e+22 +1.76991459794347e+24 +9.58118542414612e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06802250616782e+21 +7.28303725244744e+22 +2.46157589440654e-02 +1.63861588536517e-02 +1.64105059627103e-02 
+5.56533077842765e-03 +2.90022200908456e+22 +1.76991469978241e+24 +9.85016075389060e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06803108934372e+21 +7.28306752108303e+22 +2.46158586830444e-02 +1.63862247680134e-02 +1.64105724553629e-02 
+5.72156755506325e-03 +2.90023451519834e+22 +1.76991480741854e+24 +1.01266871373519e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06804016070539e+21 +7.28309951112786e+22 +2.46159640942178e-02 +1.63862944309076e-02 +1.64106427294785e-02 
+5.88219040169996e-03 +2.90024773249751e+22 +1.76991492118180e+24 +1.04109765612011e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06804974798984e+21 +7.28313332036513e+22 +2.46160754997819e-02 +1.63863680552564e-02 +1.64107169998546e-02 
+6.04732244946265e-03 +2.90026170137454e+22 +1.76991504142089e+24 +1.07032469636262e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06805988050652e+21 +7.28316905211925e+22 +2.46161932401907e-02 +1.63864458660468e-02 +1.64107954934605e-02 
+6.21709028616383e-03 +2.90027646450923e+22 +1.76991516850439e+24 +1.10037224014426e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06807058922565e+21 +7.28320681556592e+22 +2.46163176751768e-02 +1.63865281010051e-02 +1.64108784501179e-02 
+6.39162405334401e-03 +2.90029206699945e+22 +1.76991530282180e+24 +1.13126332218975e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06808190687283e+21 +7.28324672606647e+22 +2.46164491848537e-02 +1.63866150113256e-02 +1.64109661232358e-02 
+6.57105754603627e-03 +2.90030855649601e+22 +1.76991544478480e+24 +1.16302162392993e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06809386802736e+21 +7.28328890551291e+22 +2.46165881708517e-02 +1.63867068624210e-02 +1.64110587805678e-02 
+6.75552831533165e-03 +2.90032598334576e+22 +1.76991559482850e+24 +1.19567149166110e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06810650922628e+21 +7.28333348269419e+22 +2.46167350575251e-02 +1.63868039347198e-02 +1.64111567050167e-02 
+6.94517777382370e-03 +2.90034440074498e+22 +1.76991575341274e+24 +1.22923795521426e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06811986907564e+21 +7.28338059368836e+22 +2.46168902932437e-02 +1.63869065245199e-02 +1.64112601954958e-02 
+7.14015130401340e-03 +2.90036386489859e+22 +1.76991592102351e+24 +1.26374674714901e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06813398836644e+21 +7.28343038227003e+22 +2.46170543517355e-02 +1.63870149448758e-02 +1.64113695678237e-02 
+7.34059836975721e-03 +2.90038443518834e+22 +1.76991609817446e+24 +1.29922432248665e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06814891019701e+21 +7.28348300034077e+22 +2.46172277335042e-02 +1.63871295265345e-02 +1.64114851556694e-02 
+7.54667263084389e-03 +2.90040617435216e+22 +1.76991628540844e+24 +1.33569787899767e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06816468010333e+21 +7.28353860838774e+22 +2.46174109673400e-02 +1.63872506189345e-02 +1.64116073115600e-02 
+7.75853206078784e-03 +2.90042914867302e+22 +1.76991648329912e+24 +1.37319537805931e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06818134619626e+21 +7.28359737596696e+22 +2.46176046119123e-02 +1.63873785912577e-02 +1.64117364079415e-02 
+7.97633906792928e-03 +2.90045342817401e+22 +1.76991669245290e+24 +1.41174556609923e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06819895930410e+21 +7.28365948220253e+22 +2.46178092574125e-02 +1.63875138335145e-02 +1.64118728382750e-02 
+8.20026061993413e-03 +2.90047908683267e+22 +1.76991691351055e+24 +1.45137799664159e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06821757312768e+21 +7.28372511633478e+22 +2.46180255273616e-02 +1.63876567577384e-02 +1.64120170182411e-02 
+8.43046837178897e-03 +2.90050620279771e+22 +1.76991714714933e+24 +1.49212305297294e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06823724439889e+21 +7.28379447827498e+22 +2.46182540804358e-02 +1.63878077991918e-02 +1.64121693869572e-02 
+8.66713879738923e-03 +2.90053485862460e+22 +1.76991739408496e+24 +1.53401197144478e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06825803305172e+21 +7.28386777920795e+22 +2.46184956124525e-02 +1.63879674176781e-02 +1.64123304083017e-02 
+8.91045332482151e-03 +2.90056514151997e+22 +1.76991765507387e+24 +1.57707686543133e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06828000240044e+21 +7.28394524221739e+22 +2.46187508584292e-02 +1.63881360989018e-02 +1.64125005722862e-02 
+9.16059847544371e-03 +2.90059714360231e+22 +1.76991793091545e+24 +1.62135074996045e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06830321932928e+21 +7.28402710295304e+22 +2.46190205947816e-02 +1.63883143559207e-02 +1.64126803965211e-02 
+9.41776600686952e-03 +2.90063096217224e+22 +1.76991822245457e+24 +1.66686756703716e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06832775448978e+21 +7.28411361032206e+22 +2.46193056416000e-02 +1.63885027306491e-02 +1.64128704277333e-02 
